text,labels,UID,v20_l4_e9_preds,v20_l4_e9_probs
Ordinary lessons attended by students from different levels of ability.,PREP,Preposition_Replacing,G,"{'G': 5.171875, 'PREP': -2.078125, 'DET': -4.4921875, 'SVA': -2.603515625}"
You advertised for my perfect evening out.,PREP,Preposition_Unnecessary,G,"{'G': 3.46484375, 'PREP': 2.197265625, 'DET': -4.23828125, 'SVA': -4.49609375}"
"I felt like a fool, and all the audience felt like I did.",PREP,Preposition_Replacing,G,"{'G': 4.84375, 'PREP': -0.56201171875, 'DET': -5.0078125, 'SVA': -3.296875}"
"1. First of all, I was really furious of watching a show starring a different actor, instead of Danny Brook,",PREP,Preposition_Replacing,G,"{'G': 3.140625, 'PREP': 2.931640625, 'DET': -4.8515625, 'SVA': -4.140625}"
I hope that you will agree with this suggestion.,PREP,Preposition_Replacing,G,"{'G': 3.830078125, 'PREP': 1.8564453125, 'DET': -5.02734375, 'SVA': -4.06640625}"
"I particularly liked meeting people of different countries and some pop - stars, who were friendly towards us.",PREP,Preposition_Replacing,G,"{'G': 4.53125, 'PREP': 0.1912841796875, 'DET': -4.890625, 'SVA': -3.666015625}"
I would like to tell to everyone - don't be naive when you share your big secret or problem with someone.,PREP,Preposition_Unnecessary,G,"{'G': 3.57421875, 'PREP': 2.296875, 'DET': -4.953125, 'SVA': -4.1171875}"
"Maybe it was the wrong decision to tell her. She began to share that secret to everybody, including the teachers.",PREP,Preposition_Replacing,G,"{'G': 3.041015625, 'PREP': 3.0234375, 'DET': -4.7578125, 'SVA': -4.1484375}"
The sea is also polluted by oil and the chemical detergents which are used at the home.,PREP,Preposition_Replacing,G,"{'G': 4.8828125, 'PREP': -1.0634765625, 'DET': -4.71875, 'SVA': -3.072265625}"
First tell to your parents.,PREP,Preposition_Unnecessary,G,"{'G': 4.46875, 'PREP': -1.951171875, 'DET': -5.44140625, 'SVA': -0.7080078125}"
They needed one person for to put the clothes into a wardrobe.,PREP,Preposition_Unnecessary,G,"{'G': 5.08203125, 'PREP': -1.3994140625, 'DET': -4.8984375, 'SVA': -2.8203125}"
It will remind me some wonderful experiences.,PREP,Preposition_Missing,G,"{'G': 4.26953125, 'PREP': 0.517578125, 'DET': -4.09765625, 'SVA': -4.26953125}"
I was just walking down by the dressing room and the manager asked that if I could help them.,PREP,Preposition_Unnecessary,G,"{'G': 3.03125, 'PREP': 3.005859375, 'DET': -4.6484375, 'SVA': -4.1875}"
my name is John and I went in the latest International Arts Festival.,PREP,Preposition_Replacing,G,"{'G': 3.095703125, 'PREP': 2.94921875, 'DET': -4.74609375, 'SVA': -4.18359375}"
My second complaint is about some the concert halls which were too small.,PREP,Preposition_Missing,G,"{'G': 4.8203125, 'PREP': -0.82666015625, 'DET': -4.4375, 'SVA': -3.494140625}"
"After a week of holiday, when Pandora returned she learned that all of her friends knew about that.",PREP,Preposition_Replacing,G,"{'G': 4.39453125, 'PREP': 0.65087890625, 'DET': -5.12109375, 'SVA': -3.724609375}"
I'm writing this letter to you because I had a very disappointing evening to your theatre,PREP,Preposition_Replacing,G,"{'G': 3.4609375, 'PREP': 2.458984375, 'DET': -4.8828125, 'SVA': -4.16796875}"
So they both found the person they dreamed from.,PREP,Preposition_Replacing,G,"{'G': 3.1484375, 'PREP': 2.87890625, 'DET': -4.78125, 'SVA': -4.1328125}"
Nobody at the shop came with us to help.,PREP,Preposition_Replacing,G,"{'G': 4.06640625, 'PREP': 1.279296875, 'DET': -4.86328125, 'SVA': -3.98046875}"
Then Sara looked down the river.,PREP,Preposition_Replacing,G,"{'G': 5.16796875, 'PREP': -1.95703125, 'DET': -4.6015625, 'SVA': -2.646484375}"
I've been busy preparing English exams.,PREP,Preposition_Missing,G,"{'G': 4.44140625, 'PREP': 0.259033203125, 'DET': -4.25, 'SVA': -4.02734375}"
To my personal opinion one of the most important and useful things which has been invented is the car.,PREP,Preposition_Replacing,G,"{'G': 3.115234375, 'PREP': 2.904296875, 'DET': -4.63671875, 'SVA': -4.26171875}"
Are you fed up of looking after the screaming baby of your mother's friend?,PREP,Preposition_Replacing,G,"{'G': 4.76171875, 'PREP': -0.4013671875, 'DET': -5.07421875, 'SVA': -3.3203125}"
To our surprise the restaurant was closed because a lack of staff to keep it open.,PREP,Preposition_Missing,G,"{'G': 3.853515625, 'PREP': 1.83984375, 'DET': -4.96875, 'SVA': -4.1171875}"
I'm looking forward of receiving a letter from you.,PREP,Preposition_Replacing,G,"{'G': 3.568359375, 'PREP': 2.33203125, 'DET': -5.15234375, 'SVA': -3.998046875}"
"To finish this letter with, I would like to give you a good idea for next year.",PREP,Preposition_Unnecessary,G,"{'G': 3.109375, 'PREP': 2.9453125, 'DET': -4.796875, 'SVA': -4.1640625}"
Pat was the only person who had known it.,PREP,Preposition_Missing,G,"{'G': 4.90625, 'PREP': -1.0341796875, 'DET': -4.54296875, 'SVA': -3.310546875}"
"First, the actors that the Circle theatre publicised on their tickets for Over the Rainbow were not there, which was very disappointing because the actors starring the musical were one of its major attractions.",PREP,Preposition_Missing,G,"{'G': 3.15234375, 'PREP': 2.876953125, 'DET': -4.7578125, 'SVA': -4.19921875}"
"For men and women appearance is important and they spend a lot of money in buying clothes, cosmetics, accessories, jewellery etc.",PREP,Preposition_Unnecessary,G,"{'G': 3.275390625, 'PREP': 2.712890625, 'DET': -5.21484375, 'SVA': -3.873046875}"
"I was very disappointed because I was longing for to see them, as a fan.",PREP,Preposition_Unnecessary,G,"{'G': 4.71875, 'PREP': -0.30029296875, 'DET': -4.69921875, 'SVA': -3.615234375}"
The Korean restaurants appeared to be the most popular to foreigners.,PREP,Preposition_Replacing,G,"{'G': 5.1796875, 'PREP': -2.1328125, 'DET': -4.6796875, 'SVA': -2.412109375}"
In that moment I felt so nervous and terrified that I fainted.,PREP,Preposition_Replacing,G,"{'G': 3.107421875, 'PREP': 2.92578125, 'DET': -4.6171875, 'SVA': -4.28515625}"
Specially at sailing and swimming.,PREP,Preposition_Unnecessary,G,"{'G': 5.19921875, 'PREP': -1.9775390625, 'DET': -5.046875, 'SVA': -2.314453125}"
I have been swimming from I was five years of age and until 1993 I was a member of the school team.,PREP,Preposition_Replacing,G,"{'G': 3.443359375, 'PREP': 2.521484375, 'DET': -4.9765625, 'SVA': -4.125}"
Another point is to go a big area.,PREP,Preposition_Missing,G,"{'G': 5.1796875, 'PREP': -2.0078125, 'DET': -4.859375, 'SVA': -2.4296875}"
"Most of people think that character, person and clothes are of a piece.",PREP,Preposition_Unnecessary,G,"{'G': 5.04296875, 'PREP': -1.60546875, 'DET': -4.37890625, 'SVA': -3.0234375}"
"The fashion industry will deliver a wide variety of in styles, materials and colours.",PREP,Preposition_Unnecessary,G,"{'G': 4.76953125, 'PREP': -0.460693359375, 'DET': -4.609375, 'SVA': -3.57421875}"
"To begin, the organisation of your colleagues of the theatre was awful for various reasons.",PREP,Preposition_Replacing,G,"{'G': 4.765625, 'PREP': -0.344482421875, 'DET': -5.07421875, 'SVA': -3.349609375}"
You wanted to hear about my experience at the pop concert which I enjoyed helping last month?,PREP,Preposition_Missing,G,"{'G': 3.279296875, 'PREP': 2.72265625, 'DET': -4.86328125, 'SVA': -4.16015625}"
In my opinion the worst thing which may happen is an extremely long queue to the changing room.,PREP,Preposition_Replacing,G,"{'G': 3.49609375, 'PREP': 2.4296875, 'DET': -4.875, 'SVA': -4.203125}"
It sounds like a summer holiday at the coast of Italy.,PREP,Preposition_Replacing,G,"{'G': 3.328125, 'PREP': 2.541015625, 'DET': -5.49609375, 'SVA': -3.533203125}"
She had told to Pat though and that was extremely dangerous!,PREP,Preposition_Unnecessary,G,"{'G': 4.8203125, 'PREP': -0.60888671875, 'DET': -4.79296875, 'SVA': -3.427734375}"
"So, the next day Pat went and told to his sister Sally that her friends were organising a surprise party for her birthday.",PREP,Preposition_Unnecessary,G,"{'G': 3.265625, 'PREP': 2.76953125, 'DET': -4.9765625, 'SVA': -4.078125}"
In the last forty years people seem to have become completely addicted by using their car.,PREP,Preposition_Replacing,G,"{'G': 3.53515625, 'PREP': 2.275390625, 'DET': -5.18359375, 'SVA': -3.87109375}"
"And if this is a problem to me, imagine how bad a very fat woman (or man) would feel.",PREP,Preposition_Replacing,G,"{'G': 3.251953125, 'PREP': 2.75390625, 'DET': -4.84375, 'SVA': -4.1875}"
In fact queuing up in front of every ticket office is a waste time.,PREP,Preposition_Missing,G,"{'G': 4.08984375, 'PREP': 1.314453125, 'DET': -5.20703125, 'SVA': -3.837890625}"
"Firstly, I hoped to have a relaxing evening with your show but that didn't happen.",PREP,Preposition_Replacing,G,"{'G': 3.166015625, 'PREP': 2.880859375, 'DET': -4.88671875, 'SVA': -4.09765625}"
I know that I had to ask at my Mum or Dad about going out with my friend after school.,PREP,Preposition_Unnecessary,G,"{'G': 3.3046875, 'PREP': 2.70703125, 'DET': -4.93359375, 'SVA': -4.09765625}"
I hope to hear you soon,PREP,Preposition_Missing,G,"{'G': 3.26953125, 'PREP': 2.43359375, 'DET': -4.23046875, 'SVA': -4.3984375}"
Can you imagine you and your friends going a picnic to the Moon with a silvery skirt with astronaut boots with fire coming out at the bottom of your boots?,PREP,Preposition_Missing,G,"{'G': 3.953125, 'PREP': 1.60546875, 'DET': -5.13671875, 'SVA': -3.94140625}"
I also helped some special requests of the singer which weren't so difficult to arrange.,PREP,Preposition_Missing,G,"{'G': 5.19921875, 'PREP': -2.03515625, 'DET': -4.66015625, 'SVA': -2.568359375}"
"Peter and Sue asked to Francis for some help with their exam subjects and Francis, all week, was too busy to help them.",PREP,Preposition_Unnecessary,G,"{'G': 3.162109375, 'PREP': 2.865234375, 'DET': -4.671875, 'SVA': -4.25390625}"
We have discussed about it a lot of times.,PREP,Preposition_Unnecessary,G,"{'G': 4.0234375, 'PREP': 1.365234375, 'DET': -4.76953125, 'SVA': -4.1171875}"
"He has a best friend, who was more like a brother for him.",PREP,Preposition_Replacing,G,"{'G': 4.4140625, 'PREP': 0.5537109375, 'DET': -5.0546875, 'SVA': -3.70703125}"
"Peter and Sue asked Francis some help with their exam subjects and Francis, all week, was too busy to help them.",PREP,Preposition_Missing,G,"{'G': 3.376953125, 'PREP': 2.556640625, 'DET': -4.69140625, 'SVA': -4.28125}"
Photography is my hobby. I can remember that I used to take photographs on the exhibitions or during the holidays.,PREP,Preposition_Replacing,G,"{'G': 3.626953125, 'PREP': 2.203125, 'DET': -4.85546875, 'SVA': -4.20703125}"
You asked me for an interesting building to visit.,PREP,Preposition_Replacing,G,"{'G': 3.734375, 'PREP': 1.943359375, 'DET': -5.0234375, 'SVA': -4.05078125}"
I tried to take it on my stride but I couldn't.,PREP,Preposition_Replacing,G,"{'G': 3.1953125, 'PREP': 2.662109375, 'DET': -4.36328125, 'SVA': -4.37890625}"
"When we arrived home, Pat told to his mother what had happened.",PREP,Preposition_Unnecessary,G,"{'G': 3.927734375, 'PREP': 1.6494140625, 'DET': -5.2578125, 'SVA': -3.849609375}"
The hotel is just opposite to the City Hospital.,PREP,Preposition_Unnecessary,G,"{'G': 4.9765625, 'PREP': -1.0859375, 'DET': -5.09375, 'SVA': -2.90625}"
It affects us lots of ways.,PREP,Preposition_Missing,G,"{'G': 4.93359375, 'PREP': -1.9912109375, 'DET': -3.55859375, 'SVA': -3.05859375}"
In the early 90s it was in fashion women to wear only skirts.,PREP,Preposition_Missing,G,"{'G': 4.9453125, 'PREP': -1.69921875, 'DET': -5.66796875, 'SVA': -1.736328125}"
Pat was the only person who I told my secret but now it has become a joke! I promised to myself... I would have to kill her!,PREP,Preposition_Missing,G,"{'G': 3.66796875, 'PREP': 2.109375, 'DET': -4.93359375, 'SVA': -4.13671875}"
"Despite the fact she knew that Pat couldn't keep a secret, this time she was confident maybe she would be able to.",PREP,Preposition_Missing,G,"{'G': 3.05078125, 'PREP': 3.021484375, 'DET': -4.796875, 'SVA': -4.140625}"
"There was only one thing I didn't like with her : she would do anything to have friends, even betray me.",PREP,Preposition_Replacing,G,"{'G': 3.279296875, 'PREP': 2.63671875, 'DET': -4.55078125, 'SVA': -4.33203125}"
"Thinking about the media's treatment of famous people, I've realised of some things.",PREP,Preposition_Unnecessary,G,"{'G': 3.78515625, 'PREP': 1.9208984375, 'DET': -4.90625, 'SVA': -4.09765625}"
"Deep of herself, Alex knew they were lost in the middle of nowhere, but she didn't want to admit it.",PREP,Preposition_Replacing,G,"{'G': 4.8515625, 'PREP': -0.64013671875, 'DET': -4.9296875, 'SVA': -3.306640625}"
Her friend Pat had explained the whole story at her husband.,PREP,Preposition_Replacing,G,"{'G': 4.91796875, 'PREP': -0.75244140625, 'DET': -5.01953125, 'SVA': -3.232421875}"
It would be a fantastic opportunity to the students who study fashion.,PREP,Preposition_Replacing,G,"{'G': 5.03515625, 'PREP': -2.21484375, 'DET': -4.66015625, 'SVA': -2.078125}"
HE TOOK ME RIGHT IN THE FRONT OF MY HOUSE.,PREP,Preposition_Replacing,G,"{'G': 3.591796875, 'PREP': 0.168212890625, 'DET': -6.2890625, 'SVA': -0.93505859375}"
We said yes immediately. I nearly shouted of happiness when they told us that Luis Miguel was giving the concert. He is my favourite singer.,PREP,Preposition_Replacing,G,"{'G': 4.5390625, 'PREP': 0.2841796875, 'DET': -5.08203125, 'SVA': -3.6171875}"
In addition I think that some personal opinions about the school should be reported asking students and teachers.,PREP,Preposition_Missing,G,"{'G': 3.642578125, 'PREP': 2.1875, 'DET': -4.95703125, 'SVA': -4.12890625}"
The bus had left about fifteen minutes.,PREP,Preposition_Missing,G,"{'G': 5.10546875, 'PREP': -2.158203125, 'DET': -4.43359375, 'SVA': -2.46484375}"
Write me soon to tell me your thoughts about what happened to me.,PREP,Preposition_Missing,G,"{'G': 3.1953125, 'PREP': 2.55078125, 'DET': -4.05859375, 'SVA': -4.56640625}"
I would like to complain four things concerning your theatre.,PREP,Preposition_Missing,G,"{'G': 4.1484375, 'PREP': 0.089599609375, 'DET': -2.978515625, 'SVA': -4.4609375}"
I am writing to answer to the questions I have been asked in your previous letter.,PREP,Preposition_Unnecessary,G,"{'G': 3.12109375, 'PREP': 2.939453125, 'DET': -4.83984375, 'SVA': -4.125}"
"The dangerous man who we'd gone to buy drugs was upset with my brother and had decided to kill him, but I had killed him first.",PREP,Preposition_Missing,G,"{'G': 3.513671875, 'PREP': 2.390625, 'DET': -4.87109375, 'SVA': -4.1875}"
It aims at to improve our standard of life and allows us to live more comfortably.,PREP,Preposition_Unnecessary,G,"{'G': 3.197265625, 'PREP': 2.80078125, 'DET': -4.67578125, 'SVA': -4.2578125}"
"Taking everything account, the drawbacks far outweigh its benefits.",PREP,Preposition_Missing,G,"{'G': 5.08203125, 'PREP': -1.853515625, 'DET': -4.34765625, 'SVA': -2.833984375}"
On the advertisement it was written that Danny Brook would be there too.,PREP,Preposition_Replacing,G,"{'G': 3.052734375, 'PREP': 2.998046875, 'DET': -4.6328125, 'SVA': -4.23828125}"
"If I had the choice, I would never go shopping to the big supermarkets.",PREP,Preposition_Replacing,G,"{'G': 3.677734375, 'PREP': 2.162109375, 'DET': -5.05078125, 'SVA': -4.078125}"
Save some money to go for shopping in Paris or Roma and see how the French or Italian fashion looks on you! And after that you can visit the duty - free shops and buy some cheap souvenirs.,PREP,Preposition_Unnecessary,G,"{'G': 3.015625, 'PREP': 2.966796875, 'DET': -4.5390625, 'SVA': -4.25390625}"
"As the record says, our hockey team has been on the top of the league for three successive years.",PREP,Preposition_Replacing,G,"{'G': 3.318359375, 'PREP': 2.619140625, 'DET': -4.71875, 'SVA': -4.24609375}"
I have sent to you a photocopy of our tickets.,PREP,Preposition_Unnecessary,G,"{'G': 3.328125, 'PREP': 2.517578125, 'DET': -4.4140625, 'SVA': -4.39453125}"
"I can't wait to do my painting for the rising sun, and can't imagine how wonderful sailing along the rivers will be.",PREP,Preposition_Replacing,G,"{'G': 4.171875, 'PREP': 1.078125, 'DET': -4.94921875, 'SVA': -3.958984375}"
Here are the answers for your questions.,PREP,Preposition_Replacing,G,"{'G': 2.9765625, 'PREP': 2.705078125, 'DET': -4.578125, 'SVA': -3.89453125}"
I really liked.,PREP,Preposition_Missing,G,"{'G': 4.41796875, 'PREP': 0.434814453125, 'DET': -4.73046875, 'SVA': -3.865234375}"
In my opinion the hall of the rock concerts was too small. You have to consider booking a bigger one for next year because these kinds of events are attended by a lot of young people.,PREP,Preposition_Replacing,G,"{'G': 3.201171875, 'PREP': 2.85546875, 'DET': -4.85546875, 'SVA': -4.16015625}"
I would like to stay in a log cabin because I have had bad experiences about tents.,PREP,Preposition_Replacing,G,"{'G': 3.193359375, 'PREP': 2.8671875, 'DET': -4.8046875, 'SVA': -4.18359375}"
Looking forward for your answer.,PREP,Preposition_Replacing,G,"{'G': 3.798828125, 'PREP': 1.6259765625, 'DET': -4.828125, 'SVA': -3.953125}"
Also when I visited the theatre's restaurant I found it closed because of renovation.,PREP,Preposition_Replacing,G,"{'G': 3.822265625, 'PREP': 1.8642578125, 'DET': -5.01171875, 'SVA': -4.05859375}"
Even though we want to make things as comfortable as possible to our students.,PREP,Preposition_Replacing,G,"{'G': 3.466796875, 'PREP': 2.361328125, 'DET': -4.5859375, 'SVA': -4.33203125}"
